Symbol,D10_LEC_118_3d,D10_LEC_4G4_3d,D10_LEC_AD2_3d,D10_LEC_IgG1_3d,D10_LEC_IgG2b_3d,D10_LEC_siCD73_3d,D10_LEC_siCtrl_3d,D10_LEC_Untouched_3d,D11_LEC_118_3d,D11_LEC_4G4_3d,D11_LEC_AD2_3d,D11_LEC_IgG1_3d,D11_LEC_IgG2b_3d,D11_LEC_siCD73_3d,D11_LEC_siCtrl_3d,D11_LEC_Untouched_3d,D12_LEC_118_3d,D12_LEC_4G4_3d,D12_LEC_AD2_3d,D12_LEC_IgG1_3d,D12_LEC_IgG2b_3d,D12_LEC_siCD73_3d,D12_LEC_siCtrl_3d,D12_LEC_Untouched_3d,D17_LEC_118_3d,D17_LEC_4G4_3d,D17_LEC_AD2_3d,D17_LEC_IgG1_3d,D17_LEC_IgG2b_3d,D17_LEC_siCD73_3d,D17_LEC_siCtrl_3d,D17_LEC_Untouched_3d
JAG1,5471.186562916677,5127.972973721523,6150.98528560844,6041.765685443922,5436.983855113042,5821.350270360226,5891.245357777468,5285.557576470808,6931.5127359676435,5470.746422932418,7134.606278670186,7483.900917035981,6868.676604087247,6818.475117716885,6180.233267886634,6438.337528723883,9523.543863512275,8979.05026835193,10714.105869937535,10180.68154015447,9678.731368470004,8239.635277497193,9505.92854464844,9310.303694570735,7855.381512088259,7181.965548664699,8736.031823091858,8512.381733994087,7323.336742519909,7947.45665000307,9898.526465224886,8209.024739823417
JAG2,628.6625692610336,622.3924981297891,702.1911980503756,568.700490337617,643.2167254871127,701.3122766654446,680.4252303186911,577.2094257150129,814.589541036177,1114.9973145071515,837.3951031303036,1046.6382661534544,1033.520653303705,690.3147454466732,637.319161668886,1092.8999329114338,1107.7277833286394,1052.6889197373002,707.5270629850453,1236.6685305703636,988.6700509135744,897.8052040313551,661.0281071762932,643.5543255545385,703.7705860130859,793.8467342455112,501.1077011848948,599.0856892621889,812.8283078943798,1398.4078224015575,730.1028213730132,530.3614371867111
KAT2B,397.4696316523564,427.33108114346027,388.82527533834235,363.78777397787246,414.58069179626585,352.9480085179035,362.48107724250275,451.15219481173426,728.9826228557771,647.7780725350397,655.8125860304693,587.9444299190715,651.4568708119256,598.5863806343384,783.8932920090373,606.5426143598913,454.7514057875467,391.1685073341803,492.9134285900747,333.621030139745,458.40318439935555,368.5857703096825,467.8851268235371,495.4606059683842,486.80855564296303,404.3923552137752,498.66724160120214,486.1982739347988,424.64121297270026,397.2849376024538,576.630417852319,457.5883501714867
KPNA3,1995.3203285241502,2099.447158546499,1975.5677736193404,2008.5057000019015,2109.9026511553666,1929.7546959225633,2208.289156579752,2073.67830719838,2042.2103986540776,1821.4104711940697,1976.2524433875165,1779.3822333583798,1721.404891404204,2002.735965069309,2161.5045803326116,1751.1109921982788,1906.4578165708688,2018.2314378406568,2064.1295080426844,1710.0261178367034,2015.4496302213945,1962.470182459661,2355.1465743789563,2113.602277328865,2226.572836673385,2177.7435276815704,2302.1668739500847,2110.212278595173,1917.289560196925,1963.5720146103579,2208.0509385144956,2276.9155255520964
KPNA4,2171.8469557623025,2120.8700887357486,2121.246246050687,2185.434741440271,2234.1819889707235,1945.7977872188317,2387.673990027407,2219.639311402176,1871.8791078415293,1736.7153496413562,1895.1573386633186,1828.944491087095,1804.4254028990918,1822.807249475883,2336.8369261192483,1811.7652536342678,2122.1732270085513,2201.4369412756523,2184.522522459375,1983.3857577156043,2167.8877437983774,1923.8682943529036,2800.5732151149637,2218.1390205661505,2514.047526913798,2379.4062061390996,2563.2960494052004,2638.8830454254253,2454.2488666241215,2061.1353510569784,2821.0534288774993,2568.007873612994
KPNA6,2277.762932105194,2238.132443455854,2154.7837361068246,2280.218156496541,2233.2332917354915,2455.7389034216467,2059.8327426920378,2227.011079291257,2056.3311274261023,1967.532823763037,2110.235659888365,2027.1935220019554,2083.137120060501,2519.0020183079623,1924.0173818067967,2004.9603085785295,2203.7952742011876,2143.009240180167,2191.5018276429514,2071.5944594017674,2154.821619777493,2258.8330653437974,2004.7941914134917,2168.048497764951,2406.92252441855,2314.3193099173573,2543.7723727356592,2451.1099189402617,2337.0045410005687,2439.083411165507,2271.923846338137,2626.4468677312802
LRP8,1068.270815157336,1169.2409792764336,1024.9895398406975,1145.5252733943428,1105.232279044965,441.1850106473794,1159.19716510657,1057.8486920830696,906.3742780543379,977.2514025313097,929.9492987394424,892.120639116872,932.71003220277,402.1935995617755,1032.5127029657497,917.6765109852429,832.7392195724947,831.8520155967378,958.7820495937913,882.9603703436707,895.0294954305706,372.321436900659,1054.8002299109821,899.4515616041435,911.2405275545158,789.5787410506429,985.1321852839409,956.7487873291673,913.3234441431396,269.83733593794983,806.3954612734739,852.3272161025523
LYVE1,3056.7578548851707,3157.0633963105247,3328.5958880716316,3200.971331328873,3243.595847257284,4092.1342156410174,5145.251877991703,3697.6787731628415,1217.9128565871335,723.1660378731692,1039.2513964111872,1349.8426663761823,1187.7016032227825,1801.6391652884213,3340.5914136385127,926.6623274942783,889.0972997769342,723.9093135728754,980.5923782924672,669.8621207256136,753.479818537658,1606.3366341199,2754.9076267369865,940.8306891355691,3536.4810950330016,2996.1312227975745,3918.5646048825297,3738.697071981384,3439.495300435491,4313.002630122214,7648.780711881069,4401.669141890542
MAML1,956.6604314841816,909.9107717223548,903.4161383871997,926.1693699784049,922.1337126452412,985.5041796279123,910.5326718446485,1023.2013830043908,982.2731952039708,1033.094339818813,967.8524455127088,971.8089750728453,1057.2407994451016,969.0278539149211,917.4798411798081,1073.8050728297335,820.1072360783961,922.959617304952,770.3408096372318,803.4852034779199,841.6761556786266,815.6205390298718,718.671554800953,758.9803128790412,894.9683752767565,831.1916747006093,764.6773362237032,749.9748087591954,888.6922832978553,916.7437830074322,809.0568324327922,783.9646192094627
MAML2,771.0227525176083,825.3465736068943,787.0829697549733,790.7644913265913,705.8307430124069,837.6785526837255,758.3648476097412,733.4909049635222,799.5862667159008,796.692571968382,751.0111872284407,716.223214628687,770.0576015189082,798.507175738145,828.4221417326276,771.6569927134173,900.7575922330251,1008.1254189017608,909.0545001608103,845.4061706158983,915.717525130304,828.0727609997934,833.2098338473548,894.006939560535,703.7705860130859,783.1767512583405,736.2053077472887,765.6225692996258,640.4101819773902,769.9593038490034,723.8929553346036,685.8312139919632
